GISJOIN,COUNTYA,TRACTA,BLKGRPA,PUnder5,PUnder18,POver65,PAfam,PNonWhite,PHisp,PNoDiploma,PCollegePlus,PPov,PRenter,MedValue,PerCapInc,PMobHom
G13005100001001,51,100,1,0.124217119,0.291753653,0,0.596555324,0.629958246,0.08559499,0.418269231,0,0.988636364,1,,2372,0.009345794
G13005100003001,51,300,1,0.00712831,0.025458248,0.034623218,0.099796334,0.153767821,0.107942974,0.015801354,8.962962963,0.212307692,0.615384615,498500,26687,0.022026432
G13005100003002,51,300,2,0.02853067,0.055634807,0.20256776,0.05278174,0.05278174,0.069900143,0.0321489,12.27777778,0.04784689,0.574162679,448100,55199,0
G13005100006011,51,601,1,0.025787966,0.106017192,0.126074499,1,1,0,0.295081967,0,0.328767123,0.726027397,,17272,0
G13005100006012,51,601,2,0.051975052,0.280665281,0.16008316,1,1,0,0.465277778,0,0.440677966,0.497175141,57300,11150,0.111111111
G13005100006013,51,601,3,0.006459948,0.047803618,0.156330749,0.926356589,0.926356589,0,0.364197531,0.281105991,0.202846975,0.604982206,60400,16578,0.04950495
G13005100006014,51,601,4,0,0.054287477,0.029611351,0.455274522,0.563232572,0.111659469,0.244588745,0.672897196,0.587155963,0.45412844,61400,4924,0
G13005100006015,51,601,5,0.060301508,0.184924623,0.211055276,0.946733668,0.946733668,0,0.295874822,0.970588235,0.436144578,0.696385542,75000,15537,0
G13005100009001,51,900,1,0.025619129,0.035866781,0.368061486,0.151152861,0.166524338,0.081127242,0.058945191,7.44047619,0.293193717,0.651832461,613600,51276,0
G13005100011001,51,1100,1,0.033333333,0.077777778,0.048148148,0.121296296,0.176851852,0.041666667,0.042580645,4.460674157,0.302681992,0.737547893,327300,26783,0
G13005100011002,51,1100,2,0.07221665,0.355065196,0.129388164,0.976930792,0.981945838,0,0.238185255,0.102150538,0.460490463,0.705722071,59600,9683,0.020089286
G13005100012001,51,1200,1,0.20540265,0.468909276,0.060142712,0.986748216,0.986748216,0.00764526,0.315175097,0.067647059,0.611353712,0.908296943,75000,8255,0.005800464
G13005100015001,51,1500,1,0.027542373,0.100282486,0.106638418,0.258474576,0.28319209,0.134180791,0.187788018,1.715909091,0.468847352,0.862928349,450000,19394,0.012
G13005100020001,51,2000,1,0.020168067,0.078991597,0.058823529,0.304201681,0.327731092,0.060504202,0.069518717,2.023809524,0.487903226,0.661290323,250000,15592,0.027548209
G13005100020002,51,2000,2,0.041116006,0.095447871,0.092511013,0.741556535,0.765051395,0.013215859,0.194117647,0.846153846,0.308988764,0.508426966,79200,16141,0
G13005100021001,51,2100,1,0,0.06518283,0.216216216,0.639109698,0.645468998,0.007949126,0.192748092,1.251908397,0.314393939,0.609848485,135600,16737,0
G13005100021002,51,2100,2,0.139372822,0.168989547,0.18466899,0.958188153,0.975609756,0,0.237704918,0.476635514,0.448717949,0.448717949,102800,16055,0
G13005100021003,51,2100,3,0.091772152,0.282700422,0.099156118,0.911392405,0.911392405,0,0.038888889,0.488372093,0.192982456,0.484210526,144600,19159,0
G13005100022001,51,2200,1,0.075839653,0.256771398,0.157096425,0.872156013,0.872156013,0.033586132,0.298876404,0.617647059,0.16576087,0.877717391,,14698,0.048346056
G13005100022002,51,2200,2,0.012562814,0.15201005,0.061557789,0.840452261,0.864321608,0.007537688,0.012048193,0.303167421,0.256684492,0.719251337,94500,17262,0.013986014
G13005100022003,51,2200,3,0,0.085260116,0.25867052,0.277456647,0.343930636,0,0.105050505,2.359550562,0.271293375,0.56466877,204200,27072,0
G13005100022004,51,2200,4,0.081443299,0.312371134,0.046391753,0.958762887,0.958762887,0,0.29318542,0.227027027,0.320916905,0.779369628,83800,22075,0
G13005100022005,51,2200,5,0.015151515,0.227272727,0.1184573,0.935261708,0.935261708,0,0.108208955,0.690217391,0.154639175,0.41580756,121200,19075,0
G13005100023001,51,2300,1,0.084693085,0.284382284,0.083916084,0.951825952,0.963480963,0,0.160220994,0.670995671,0.269230769,0.741452991,83000,14373,0
G13005100023002,51,2300,2,0.072258065,0.267096774,0.178064516,0.945806452,0.952258065,0,0.288043478,0.240506329,0.36038961,0.525974026,78000,12407,0
