ID,Evacuate,KnowEstab,SLRPers,SSDPers,ARelocate,Aprotect,ANoRecover,PCUnexp,PCAbleMov,PCNoRecov,Age_Cat,Hincome,Education,NotHS,HS,SomeCollege,AssocVoc,Bach,SomeGrad,Grad,Ethnicity,White,Hispanic,Afam,Other,HomeLang,EngOnly,EngPrim,EngSec,EngNot,FldRisk,Gender,Female
16,1,2,1,2,2,0,2,1,1,-2,2,7,5,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,4,1,1
163,2,1,0,1,-1,2,-1,2,1,0,3,4,7,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,4,1,1
216,3,2,2,-1,0,0,0,0,0,0,3,4,5,0,0,0,0,1,0,0,7,0,0,0,1,1,1,0,0,0,3,2,0
258,2,1,0,1,1,1,0,1,1,-1,3,6,7,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,2,1,1
72,3,-1,0,1,-1,-1,0,1,1,0,3,2,2,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,3,1,1
178,1,-1,0,1,-1,1,-1,-1,1,1,3,7,7,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,3,1,1
62,2,1,-2,1,-2,1,0,1,1,1,2,2,4,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,3,1,1
162,3,1,1,2,0,1,-1,1,1,0,4,5,6,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,3,1,1
104,2,1,0,2,-2,1,-2,-1,2,-1,2,4,6,0,0,0,0,0,1,0,7,0,0,0,1,1,1,0,0,0,3,1,1
79,2,2,2,0,-2,1,-2,2,2,2,2,5,3,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,3,1,1
279,3,0,-2,-2,-2,1,-1,0,1,0,4,5,3,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,3,1,1
49,3,-2,0,1,-2,1,-2,-2,2,1,2,3,7,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,3,1,1
114,4,-1,0,1,-1,0,1,1,1,1,2,1,4,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,3,1,1
186,2,1,0,1,0,0,-1,0,1,1,1,6,2,0,1,0,0,0,0,0,8,0,0,0,1,1,1,0,0,0,3,1,1
207,3,-2,2,1,-1,0,-1,-1,0,1,3,4,3,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,3,1,1
292,3,0,0,1,-1,0,-1,0,1,0,4,5,7,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,3,2,0
66,2,1,-1,1,0,0,0,1,1,-1,4,3,7,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,3,2,0
177,2,-1,0,1,1,1,0,1,1,1,1,3,3,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,3,1,1
123,3,-1,1,1,-1,1,-1,1,1,1,3,6,7,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,3,1,1
324,1,0,2,-1,-1,1,-1,-1,1,0,2,6,6,0,0,0,0,0,1,0,1,1,0,0,0,2,0,1,0,0,3,1,1
100,3,1,0,1,-1,1,-1,1,2,1,2,4,5,0,0,0,0,1,0,0,1,1,0,0,0,2,0,1,0,0,3,1,1
175,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,1,3,0,0,1,0,0,0,0,7,0,0,0,1,2,0,1,0,0,3,1,1
234,1,1,2,-2,0,1,1,-1,1,1,2,5,3,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,3,1,1
223,1,1,2,-1,-1,2,-1,1,1,1,3,7,6,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,3,1,1
345,1,1,-2,1,-1,1,-2,-1,1,1,3,4,5,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,3,2,0
275,3,2,-1,2,-2,1,0,2,2,2,1,4,1,1,0,0,0,0,0,0,1,1,0,0,0,2,0,1,0,0,3,2,0
