"GISJOIN","COUNTYA","TRACTA","BLKGRPA","sumscores"
"G13005100001001",51,100,1,3.38061243625148
"G13005100003001",51,300,1,-0.0348059172748046
"G13005100003002",51,300,2,-0.789327177012636
"G13005100006011",51,601,1,1.2791180197874
"G13005100006012",51,601,2,1.19485343967632
"G13005100006013",51,601,3,0.364899610551553
"G13005100006014",51,601,4,0.602000125288058
"G13005100006015",51,601,5,1.40332342854084
"G13005100009001",51,900,1,0.206343764023095
"G13005100011001",51,1100,1,0.0439708551277242
"G13005100011002",51,1100,2,2.13833471927954
"G13005100012001",51,1200,1,3.05180976370895
"G13005100015001",51,1500,1,0.773689529114396
"G13005100020001",51,2000,1,0.384390882069324
"G13005100020002",51,2000,2,0.480815916901078
"G13005100021001",51,2100,1,0.22314043530299
"G13005100021002",51,2100,2,1.47013642127917
"G13005100021003",51,2100,3,1.09775175510791
"G13005100022001",51,2200,1,1.20684472644287
"G13005100022002",51,2200,2,0.65798763570038
"G13005100022003",51,2200,3,-0.435699739530221
"G13005100022004",51,2200,4,1.56100401547637
"G13005100022005",51,2200,5,0.54913617169453
"G13005100023001",51,2300,1,1.16437361101213
"G13005100023002",51,2300,2,1.44024328969518
"G13005100026001",51,2600,1,0.854120083296891
"G13005100026002",51,2600,2,0.321520855897951
"G13005100027001",51,2700,1,-0.207616889284123
"G13005100027002",51,2700,2,1.25591538601787
"G13005100027003",51,2700,3,0.206950988050674
"G13005100027004",51,2700,4,0.134258416561061
"G13005100028001",51,2800,1,0.793363558313882
"G13005100028002",51,2800,2,1.27463240028759
"G13005100028003",51,2800,3,0.277128482907495
"G13005100029001",51,2900,1,-0.626257209302773
"G13005100029002",51,2900,2,-0.480429692732298
"G13005100029003",51,2900,3,-0.388484176333514
"G13005100029004",51,2900,4,-0.771459623648105
"G13005100030001",51,3000,1,-0.0264031390687084
"G13005100030002",51,3000,2,-0.208473823851235
"G13005100033011",51,3301,1,0.810358494083532
"G13005100033012",51,3301,2,1.33846359809612
"G13005100033021",51,3302,1,-0.20885686037097
"G13005100033022",51,3302,2,0.865400391863805
"G13005100034001",51,3400,1,1.10609445013545
"G13005100034002",51,3400,2,0.534597752034374
"G13005100034003",51,3400,3,-0.25247427955967
"G13005100034004",51,3400,4,-1.19851913460654
"G13005100034005",51,3400,5,-1.05359508679711
"G13005100035011",51,3501,1,0.748712646221177
"G13005100035012",51,3501,2,1.27266593478155
"G13005100035013",51,3501,3,1.25998115680936
"G13005100035021",51,3502,1,-0.223499439609719
"G13005100035022",51,3502,2,1.1649228885331
"G13005100035023",51,3502,3,-0.72018307814103
